Stock name,Symbol,Link,Scrap_Link
Suryoday Small Finance Bank Ltd,SURYODAY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SURYODAY""",https://in.tradingview.com/symbols/NSE-SURYODAY/news/
Sutlej Textiles And Industries Limited,SUTLEJTEX,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUTLEJTEX""",https://in.tradingview.com/symbols/NSE-SUTLEJTEX/news/
Suumaya Industries Ltd,SUULD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUULD""",https://in.tradingview.com/symbols/NSE-SUULD/news/
Suven Life Sciences Limited,SUVEN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUVEN""",https://in.tradingview.com/symbols/NSE-SUVEN/news/
Suven Pharmaceuticals Ltd,SUVENPHAR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUVENPHAR""",https://in.tradingview.com/symbols/NSE-SUVENPHAR/news/
Suvidhaa Infoserve Ltd,SUVIDHAA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUVIDHAA""",https://in.tradingview.com/symbols/NSE-SUVIDHAA/news/
Suyog Telematics Ltd,SUYOG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUYOG""",https://in.tradingview.com/symbols/NSE-SUYOG/news/
Suzlon Energy Limited,SUZLON,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SUZLON""",https://in.tradingview.com/symbols/NSE-SUZLON/news/
Shree Vasu Logistics Ltd,SVLL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SVLL""",https://in.tradingview.com/symbols/NSE-SVLL/news/
SVP Global Ventures Ltd,SVPGLOB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SVPGLOB""",https://in.tradingview.com/symbols/NSE-SVPGLOB/news/
Swan Energy Limited,SWANENERGY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SWANENERGY""",https://in.tradingview.com/symbols/NSE-SWANENERGY/news/
Swaraj Engines Limited,SWARAJENG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SWARAJENG""",https://in.tradingview.com/symbols/NSE-SWARAJENG/news/
Swiggy Ltd,SWIGGY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SWIGGY""",https://in.tradingview.com/symbols/NSE-SWIGGY/news/
Sterling & Wilson Renewable Energy Ltd,SWSOLAR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SWSOLAR""",https://in.tradingview.com/symbols/NSE-SWSOLAR/news/
Symphony Limited,SYMPHONY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SYMPHONY""",https://in.tradingview.com/symbols/NSE-SYMPHONY/news/
Syncom Formulations (India) Ltd,SYNCOMF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SYNCOMF""",https://in.tradingview.com/symbols/NSE-SYNCOMF/news/
Syngene International Limited,SYNGENE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SYNGENE""",https://in.tradingview.com/symbols/NSE-SYNGENE/news/
Syrma SGS Technology Ltd,SYRMA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:SYRMA""",https://in.tradingview.com/symbols/NSE-SYRMA/news/
Tainwala Chemical And Plastic (i) Limited,TAINWALCHM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TAINWALCHM""",https://in.tradingview.com/symbols/NSE-TAINWALCHM/news/
Taj Gvk Hotels & Resorts Limited,TAJGVK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TAJGVK""",https://in.tradingview.com/symbols/NSE-TAJGVK/news/
Take Solutions Limited,TAKE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TAKE""",https://in.tradingview.com/symbols/NSE-TAKE/news/
Talbros Automotive Components Limited,TALBROAUTO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TALBROAUTO""",https://in.tradingview.com/symbols/NSE-TALBROAUTO/news/
Tanla Solutions Limited,TANLA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TANLA""",https://in.tradingview.com/symbols/NSE-TANLA/news/
Tara Chand Infralogistic Solutions Ltd,TARACHAND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:TARACHAND""",https://in.tradingview.com/symbols/NSE-TARACHAND/news/
